Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Trading Symbol,Formatted Ins Name,Expiry Date,Lot Size,Tick Size
BCD,bcs_fo,EURINR,1050585,FUTCUR,,,EURINR,EURINR26NOV26F,EURINR 26th NOV26 FUT,2026-11-26,1,0.0025
BCD,bcs_fo,EURINR,1047197,FUTCUR,,,EURINR,EURINR16JAN26F,EURINR 16th JAN26 FUT,2026-01-16,1,0.0025
BCD,bcs_fo,EURINR,1052486,FUTCUR,,,EURINR,EURINR20FEB26F,EURINR 20th FEB26 FUT,2026-02-20,1,0.0025
BCD,bcs_fo,EURINR,1046160,FUTCUR,,,EURINR,EURINR09JAN26F,EURINR 9th JAN26 FUT,2026-01-09,1,0.0025
BCD,bcs_fo,EURINR,1051044,FUTCUR,,,EURINR,EURINR13FEB26F,EURINR 13th FEB26 FUT,2026-02-13,1,0.0025
BCD,bcs_fo,EURINR,1045566,FUTCUR,,,EURINR,EURINR02JAN26F,EURINR 2nd JAN26 FUT,2026-01-02,1,0.0025
BCD,bcs_fo,EURINR,1048884,FUTCUR,,,EURINR,EURINR30JAN26F,EURINR 30th JAN26 FUT,2026-01-30,1,0.0025
BCD,bcs_fo,EURINR,1049640,FUTCUR,,,EURINR,EURINR06FEB26F,EURINR 6th FEB26 FUT,2026-02-06,1,0.0025
BCD,bcs_fo,EURINR,1044599,FUTCUR,,,EURINR,EURINR26DEC25F,EURINR 26th DEC FUT,2025-12-26,1,0.0025
BCD,bcs_fo,EURINR,1054051,FUTCUR,,,EURINR,EURINR06MAR26F,EURINR 6th MAR26 FUT,2026-03-06,1,0.0025
BCD,bcs_fo,EURINR,1048276,FUTCUR,,,EURINR,EURINR23JAN26F,EURINR 23rd JAN26 FUT,2026-01-23,1,0.0025
BCD,bcs_fo,EURINR,1053096,FUTCUR,,,EURINR,EURINR27FEB26F,EURINR 27th FEB26 FUT,2026-02-27,1,0.0025
BCD,bcs_fo,JPYINR,1002331,FUTCUR,,,JPYINR,JPYINR29DEC25F,JPYINR 29th DEC FUT,2025-12-29,1,0.0025
BCD,bcs_fo,JPYINR,1006911,FUTCUR,,,JPYINR,JPYINR28JAN26F,JPYINR 28th JAN26 FUT,2026-01-28,1,0.0025
BCD,bcs_fo,JPYINR,1010454,FUTCUR,,,JPYINR,JPYINR25FEB26F,JPYINR 25th FEB26 FUT,2026-02-25,1,0.0025
